Fandom,Type,Total Works,Excluding Crossovers,Total Fix-It Fics,Fix-It Fics without Crossovers
Throne of Glass Series - Sarah J. Maas,Books *a* Literature,1137,1111,6,6
Yu-Gi-Oh! Zexal,Anime *a* Manga,1668,1617,3,2
The Voice RPF,TV Shows,1214,814,6,0
The Maze Runner Series - All Media Types,Movies,5448,4949,112,97
Batman (Movies - Nolan),Movies,3389,2677,20,14
Fabula Nova Crystallis: Final Fantasy,Video Games,2089,1883,13,13
Doctor Strange (2016),Movies,4514,3890,152,129
Young Justice - All Media Types,Cartoons *a* Comics *a* Graphic Novels,9598,8809,130,116
魔道祖师 | Módào Zǔshī (Cartoon),Books *a* Literature,1703,141,59,0
Downton Abbey,TV Shows,3676,3449,58,54
Lost Girl (TV),TV Shows,1205,1008,10,10
全职高手 | The King's Avatar (Cartoon),Cartoons *a* Comics *a* Graphic Novels,1705,141,9,0
Sonic the Hedgehog (Video Games),Video Games,1443,1189,11,11
Aladdin(2019),Uncategorized Fandoms,0,0,0,0
Gilmore Girls,TV Shows,1959,1640,38,35
摩尔庄园2：海妖宝藏 | Legend of the Moles: The Treasure of Scylla (2012),Uncategorized Fandoms,0,0,0,0
Disney - All Media Types,Cartoons *a* Comics *a* Graphic Novels,38871,31475,376,317
Oz (TV),TV Shows,1454,1238,6,6
KAT-TUN (Band),TV Shows,1790,1618,0,0
Jeeves & Wooster,TV Shows,1026,351,2,0
Vocaloid,Music *a* Bands,2120,1721,1,0
Kill la Kill (Anime & Manga),Anime *a* Manga,1124,992,2,1
The Walking Dead & Related Fandoms,TV Shows,22791,20895,629,575
Mission: Impossible,Movies,1628,1171,21,5
Hunger Games Series - All Media Types,Movies,10652,9006,54,41
Big Bang (Band),Music *a* Bands,2338,2225,0,0
放·逐|Exiled (2006),Uncategorized Fandoms,0,0,0,0
Shadowhunters (TV),TV Shows,27174,26278,315,301
Wanna One (Band),Music *a* Bands,6226,6125,2,2
Backstreet Boys,Music *a* Bands,1166,1074,0,0
Tron (Movies),Movies,1063,959,3,3
The Wizard of Oz & Related Fandoms,Movies,1937,1498,11,8
Critical Role (Web Series),Other Media,12222,11982,252,243
The Hunger Games (Movies),Movies,2927,2531,30,25
Fall Out Boy,Music *a* Bands,10265,9136,2,2
Young Avengers (Comics),Cartoons *a* Comics *a* Graphic Novels,3147,2781,38,30
True Blood (TV),TV Shows,1795,1113,145,131
Tom Clancy's Rainbow Six (Video Games),Video Games,1251,1197,0,0
Fire Emblem: Soen no Kiseki/Akatsuki no Megami | Fire Emblem Path of Radiance/Radiant Dawn,Video Games,1338,1266,3,3
League of Legends RPF,Other Media,1804,1751,0,0
Marvel Cinematic Universe,Movies,323285,285754,7123,6290
Popslash,Music *a* Bands,3113,2787,0,0
X-Men - All Media Types,Movies,30433,26496,611,565
DCU,Cartoons *a* Comics *a* Graphic Novels,162018,149225,2586,2388
Yu-Gi-Oh! GX,Anime *a* Manga,1608,1493,4,3
Fast and the Furious:Hobbs and Shaw(2019),Uncategorized Fandoms,0,0,0,0
Good Omens (TV),TV Shows,20548,5477,74,13
Doctor Who (1963),TV Shows,4731,4274,43,36
New Dangan Ronpa V3: Everyone's New Semester of Killing,Anime *a* Manga,8225,7948,61,57
Dirk Gently's Holistic Detective Agency (TV 2016),TV Shows,1751,1637,10,7
IT - Stephen King,Books *a* Literature,10518,2098,1281,275
The Invincible Iron Man (2007),Uncategorized Fandoms,0,0,0,0
Rizzoli & Isles,TV Shows,1580,1424,5,5
Yu-Gi-Oh! Duel Monsters (Anime & Manga),Anime *a* Manga,8980,8108,46,42
Hellblazer & Related Fandoms,Movies,1612,752,13,3
Fate/stay night & Related Fandoms,Books *a* Literature,6279,5510,31,20
Pandora Hearts,Anime *a* Manga,1087,1017,0,0
Soul Eater,Anime *a* Manga,3506,3093,1,1
Ghostbusters - All Media Types,Movies,3156,2846,7,5
Mortal Kombat - All Media Types,Movies,1116,950,4,3
The Avengers - Ambiguous Fandom,Cartoons *a* Comics *a* Graphic Novels,168876,139909,5110,4407
Call Me By Your Name (2017),Movies,1014,744,96,94
Shoujo Kakumei Utena | Revolutionary Girl Utena,Anime *a* Manga,1042,849,6,5
Hellsing,Anime *a* Manga,1372,1080,1,0
Uncharted (Video Games),Video Games,2225,2122,11,11
Animorphs - Katherine A. Applegate,Books *a* Literature,1233,946,20,10
TOLKIEN J. R. R. - Works & Related Fandoms,Movies,62468,58035,1308,1232
Persona 5,Video Games,10414,9787,311,301
One Piece,Anime *a* Manga,17522,16594,246,213
PRATCHETT Terry - Works,Books *a* Literature,23488,6924,81,5
Fate/stay night - All Media Types,Anime *a* Manga,1212,997,7,6
The Beatles (Band),Music *a* Bands,2737,2486,21,21
Alice's Adventures in Wonderland & Related Fandoms,Books *a* Literature,2661,1920,19,6
Instructions for American Servicemen in Britain (1942),Uncategorized Fandoms,0,0,0,0
Bendy and the Ink Machine,Video Games,2652,2325,8,8
Touhou Project,Video Games,1305,1147,0,0
Star Trek: Alternate Original Series (Movies),TV Shows,28454,26154,194,176
Outlast (Video Games),Video Games,1184,1087,7,6
The A-Team - All Media Types,TV Shows,1362,1198,3,1
EXO (Band),Music *a* Bands,32091,31169,2,2
The Beatles (Band),Celebrities *a* Real People,2737,2486,21,21
Dragon Ball,Anime *a* Manga,7313,6613,10,6
The Good Place (TV),TV Shows,1006,864,4,1
DCU,Movies,162020,149227,2586,2388
X-Men (Alternate Timeline Movies),Movies,15101,13934,445,429
陈情令 | The Untamed (TV),TV Shows,2811,748,78,4
Marble Hornets,Other Media,1088,1004,13,12
Magic Kaito,Anime *a* Manga,2101,254,10,1
Transformers (Bay Movies),Movies,3158,2780,59,55
IDOLiSH7 (Video Game),Video Games,2032,1992,3,3
Outsiders - Ambiguous Fandom,Cartoons *a* Comics *a* Graphic Novels,985,887,6,6
Hellblazer & Related Fandoms,Cartoons *a* Comics *a* Graphic Novels,1612,752,13,3
Fate/Zero,Anime *a* Manga,1308,1160,3,3
偶像练习生 | Idol Producer (TV),Celebrities *a* Real People,6129,4834,0,0
Star Wars: The Clone Wars (2008) - All Media Types,Books *a* Literature,8593,8263,373,363
总有一天 (2010),Uncategorized Fandoms,0,0,0,0
DCU,TV Shows,162022,149229,2586,2388
Highlander - All Media Types,Movies,5591,3475,40,12
Heathers: The Musical - Murphy & O'Keefe,Theater,1641,405,40,6
Real Person Fiction,Celebrities *a* Real People,256345,212567,288,127
You (2019),Uncategorized Fandoms,0,0,0,0
Thunderbirds,Movies,1985,1925,3,3
Dream Daddy: A Dad Dating Simulator,Video Games,1260,1214,22,22
Bill and Max: Lost and Found in Space (2018),Uncategorized Fandoms,0,0,0,0
Star Wars Legends - All Media Types,Movies,8867,8485,138,133
Crisis Core: Final Fantasy VII,Video Games,1521,1429,52,52
On the Basis of Sex (2018),Uncategorized Fandoms,0,0,0,0
TOLKIEN J. R. R. - Works & Related Fandoms,Books *a* Literature,62469,58036,1308,1232
Rock Music RPF,Music *a* Bands,44347,35523,45,30
Pacific Rim (Movies),Movies,9686,8318,458,437
Leverage,TV Shows,6663,4613,25,2
Victorious (TV),TV Shows,1004,906,0,0
The Worst Witch (TV 2017),TV Shows,1230,1194,8,8
龍が如く | Ryuu ga Gotoku | Yakuza (Video Games),Video Games,1651,1546,26,26
The Lord of the Rings RPF,Celebrities *a* Real People,4741,4044,1,0
The Originals (TV),TV Shows,3333,2822,82,64
BioShock 1 & 2 (Video Games),Video Games,1360,1117,20,17
World of Darkness (Games),Other Media,1105,672,3,2
Kamen Rider - All Media Types,Anime *a* Manga,3937,3659,22,21
Star Wars Prequel Trilogy,Books *a* Literature,11590,10991,465,453
Game Grumps,Other Media,4038,3750,1,1
American Horror Story,TV Shows,3220,2812,31,26
Layton Kyouju Series | Professor Layton Series,Video Games,1118,1028,2,2
Dangan Ronpa - All Media Types,Video Games,21152,19829,123,116
Dangan Ronpa: Trigger Happy Havoc,Video Games,6990,6519,41,37
NINE PERCENT (Band),Music *a* Bands,3174,2014,0,0
Disney - All Media Types,Other Media,38873,31477,375,316
文豪ストレイドッグス | Bungou Stray Dogs,Anime *a* Manga,16074,15688,32,31
Peter Pan & Related Fandoms,Movies,1618,1042,5,1
Carmilla - All Media Types,Books *a* Literature,6347,5977,9,9
Under the Red Hood,Cartoons *a* Comics *a* Graphic Novels,1704,1475,24,20
Dungeons & Dragons - All Media Types,Other Media,16408,14764,260,248
Hannibal Lecter Series - All Media Types,Movies,22631,20014,395,345
The Flash - All Media Types,Cartoons *a* Comics *a* Graphic Novels,23334,22008,614,566
Inception (2010),Movies,9665,8636,9,1
Thor (Movies),Movies,44096,37297,913,776
Robin Hood - All Media Types,TV Shows,1802,1462,14,13
Danny the Dog (2005),Uncategorized Fandoms,0,0,0,0
Mission: Impossible (Movies),Movies,1570,1137,20,5
The Man From U.N.C.L.E. (TV),TV Shows,5380,5064,12,10
Love Live! School Idol Project,Anime *a* Manga,4271,2440,0,0
Batman: Arkham - All Media Types,Video Games,1036,933,18,15
Star Wars Original Trilogy,Cartoons *a* Comics *a* Graphic Novels,8027,7446,177,170
SEVENTEEN (Band),Music *a* Bands,16605,16452,1,1
Simon Snow & Related Fandoms,Books *a* Literature,4482,4280,24,22
The Avengers - Ambiguous Fandom,Movies,168877,139911,5110,4407
Five Nights at Freddy's,Video Games,2508,2025,6,6
The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien,Movies,13175,12677,120,109
悪魔城ドラキュラ | Castlevania Series,Video Games,2015,1770,39,35
Stranger Things (TV 2016),TV Shows,15475,14460,458,410
The A-Team - All Media Types,Movies,1362,1198,3,1
BLACKPINK (Band),Music *a* Bands,1423,1324,0,0
His Dark Materials - Philip Pullman,Books *a* Literature,1421,283,14,3
创造101 | Produce 101 (China TV),TV Shows,1088,863,0,0
